




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.14083199 Released 2024-11-03
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (18547)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
aerobic electron transport chain (GO:0019646)	44	39	29.70	+	1.31	1.89E-03	1.21E-02
response to nematode (GO:0009624)	88	78	59.40	+	1.31	5.97E-06	6.68E-05
indole-containing compound metabolic process (GO:0042430)	79	70	53.33	+	1.31	1.87E-05	1.96E-04
regulation of transport (GO:0051049)	114	101	76.96	+	1.31	3.08E-07	4.36E-06
response to salt stress (GO:0009651)	482	427	325.37	+	1.31	2.29E-27	1.49E-25
organophosphate metabolic process (GO:0019637)	639	566	431.36	+	1.31	4.83E-36	4.56E-34
regulation of sulfur metabolic process (GO:0042762)	35	31	23.63	+	1.31	6.19E-03	3.28E-02
cellular response to environmental stimulus (GO:0104004)	200	177	135.01	+	1.31	5.85E-12	1.43E-10
cellular response to abiotic stimulus (GO:0071214)	200	177	135.01	+	1.31	5.85E-12	1.42E-10
cellular response to stress (GO:0033554)	1241	1098	837.74	+	1.31	4.91E-69	1.35E-66
positive regulation of mRNA metabolic process (GO:1903313)	52	46	35.10	+	1.31	8.94E-04	6.17E-03
protein import into nucleus (GO:0006606)	52	46	35.10	+	1.31	8.94E-04	6.16E-03
hormone transport (GO:0009914)	104	92	70.21	+	1.31	9.19E-07	1.18E-05
response to osmotic stress (GO:0006970)	579	512	390.85	+	1.31	3.07E-32	2.47E-30
chromatin organization (GO:0006325)	328	290	221.42	+	1.31	9.82E-19	3.73E-17
pyridine-containing compound metabolic process (GO:0072524)	129	114	87.08	+	1.31	4.62E-08	7.45E-07
potassium ion transmembrane transport (GO:0071805)	43	38	29.03	+	1.31	2.85E-03	1.70E-02
cell cycle checkpoint signaling (GO:0000075)	43	38	29.03	+	1.31	2.85E-03	1.70E-02
tRNA metabolic process (GO:0006399)	189	167	127.58	+	1.31	3.92E-11	8.84E-10
cell wall macromolecule metabolic process (GO:0044036)	189	167	127.58	+	1.31	3.92E-11	8.81E-10
glutathione metabolic process (GO:0006749)	60	53	40.50	+	1.31	2.73E-04	2.17E-03
actin filament-based process (GO:0030029)	120	106	81.01	+	1.31	2.15E-07	3.10E-06
response to cadmium ion (GO:0046686)	77	68	51.98	+	1.31	4.13E-05	4.00E-04
nucleic acid metabolic process (GO:0090304)	1870	1651	1262.34	+	1.31	4.84E-103	2.21E-100
regulation of cell cycle (GO:0051726)	196	173	132.31	+	1.31	1.85E-11	4.34E-10
cell cycle process (GO:0022402)	443	391	299.05	+	1.31	2.20E-24	1.21E-22
potassium ion transport (GO:0006813)	51	45	34.43	+	1.31	8.76E-04	6.08E-03
vitamin metabolic process (GO:0006766)	85	75	57.38	+	1.31	1.30E-05	1.39E-04
regulation of secondary cell wall biogenesis (GO:2000652)	34	30	22.95	+	1.31	9.29E-03	4.58E-02
nucleosome organization (GO:0034728)	34	30	22.95	+	1.31	9.29E-03	4.58E-02
intracellular monoatomic cation homeostasis (GO:0030003)	170	150	114.76	+	1.31	5.42E-10	1.09E-08
cellular response to radiation (GO:0071478)	110	97	74.26	+	1.31	6.44E-07	8.47E-06
positive regulation of developmental process (GO:0051094)	152	134	102.61	+	1.31	5.00E-09	9.04E-08
cell cycle (GO:0007049)	489	431	330.10	+	1.31	1.76E-26	1.09E-24
cellular response to carbohydrate stimulus (GO:0071322)	59	52	39.83	+	1.31	4.04E-04	3.13E-03
hydrogen peroxide metabolic process (GO:0042743)	42	37	28.35	+	1.31	2.85E-03	1.70E-02
mRNA catabolic process (GO:0006402)	84	74	56.70	+	1.31	1.91E-05	1.99E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	42	37	28.35	+	1.31	2.85E-03	1.70E-02
mRNA destabilization (GO:0061157)	42	37	28.35	+	1.31	2.85E-03	1.70E-02
RNA destabilization (GO:0050779)	42	37	28.35	+	1.31	2.85E-03	1.70E-02
regulation of innate immune response (GO:0045088)	134	118	90.46	+	1.30	4.70E-08	7.52E-07
vesicle-mediated transport (GO:0016192)	543	478	366.55	+	1.30	4.48E-29	3.18E-27
root morphogenesis (GO:0010015)	325	286	219.39	+	1.30	9.92E-18	3.46E-16
gene expression (GO:0010467)	1924	1693	1298.80	+	1.30	6.83E-103	2.67E-100
cellular response to phosphate starvation (GO:0016036)	83	73	56.03	+	1.30	2.84E-05	2.84E-04
lipid catabolic process (GO:0016042)	116	102	78.31	+	1.30	4.49E-07	6.12E-06
regulation of defense response (GO:0031347)	323	284	218.04	+	1.30	1.45E-17	4.98E-16
homologous recombination (GO:0035825)	66	58	44.55	+	1.30	1.88E-04	1.56E-03
mitotic cell cycle (GO:0000278)	239	210	161.34	+	1.30	3.27E-13	8.60E-12
chromatin remodeling (GO:0006338)	313	275	211.29	+	1.30	6.44E-17	2.09E-15
dephosphorylation (GO:0016311)	107	94	72.23	+	1.30	2.08E-06	2.51E-05
establishment of organelle localization (GO:0051656)	74	65	49.95	+	1.30	8.81E-05	7.93E-04
regulation of mitotic cell cycle (GO:0007346)	74	65	49.95	+	1.30	8.81E-05	7.92E-04
translational elongation (GO:0006414)	41	36	27.68	+	1.30	4.16E-03	2.38E-02
maintenance of location in cell (GO:0051651)	41	36	27.68	+	1.30	4.16E-03	2.38E-02
positive regulation of growth (GO:0045927)	41	36	27.68	+	1.30	4.16E-03	2.38E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	237	208	159.99	+	1.30	7.09E-13	1.81E-11
RNA splicing, via transesterification reactions (GO:0000375)	237	208	159.99	+	1.30	7.09E-13	1.81E-11
sister chromatid cohesion (GO:0007062)	49	43	33.08	+	1.30	1.92E-03	1.22E-02
regulation of programmed cell death (GO:0043067)	98	86	66.15	+	1.30	6.35E-06	7.10E-05
regulation of immune response (GO:0050776)	147	129	99.23	+	1.30	2.36E-08	3.91E-07
regulation of immune system process (GO:0002682)	147	129	99.23	+	1.30	2.36E-08	3.89E-07
cellular response to light stimulus (GO:0071482)	106	93	71.56	+	1.30	2.01E-06	2.43E-05
activation of immune response (GO:0002253)	57	50	38.48	+	1.30	5.96E-04	4.38E-03
nucleobase-containing compound metabolic process (GO:0006139)	2287	2006	1543.84	+	1.30	1.15E-119	6.30E-117
small molecule biosynthetic process (GO:0044283)	617	541	416.51	+	1.30	1.15E-31	9.02E-30
positive regulation of immune response (GO:0050778)	73	64	49.28	+	1.30	1.32E-04	1.13E-03
positive regulation of immune system process (GO:0002684)	73	64	49.28	+	1.30	1.32E-04	1.13E-03
defense response to bacterium (GO:0042742)	389	341	262.59	+	1.30	2.69E-20	1.13E-18
mRNA processing (GO:0006397)	324	284	218.72	+	1.30	4.55E-17	1.48E-15
cell wall polysaccharide metabolic process (GO:0010383)	162	142	109.36	+	1.30	3.56E-09	6.58E-08
macromolecule biosynthetic process (GO:0009059)	2351	2060	1587.04	+	1.30	4.06E-122	2.78E-119
nucleobase-containing compound transport (GO:0015931)	113	99	76.28	+	1.30	1.43E-06	1.78E-05
water-soluble vitamin metabolic process (GO:0006767)	64	56	43.20	+	1.30	4.09E-04	3.16E-03
cellular response to acid chemical (GO:0071229)	64	56	43.20	+	1.30	4.09E-04	3.16E-03
actin cytoskeleton organization (GO:0030036)	112	98	75.61	+	1.30	1.38E-06	1.73E-05
defense response to fungus (GO:0050832)	280	245	189.01	+	1.30	1.20E-14	3.46E-13
organelle fission (GO:0048285)	184	161	124.21	+	1.30	5.67E-10	1.14E-08
xylan biosynthetic process (GO:0045492)	40	35	27.00	+	1.30	6.15E-03	3.27E-02
regulation of carbohydrate metabolic process (GO:0006109)	88	77	59.40	+	1.30	1.94E-05	2.01E-04
carbohydrate mediated signaling (GO:0009756)	40	35	27.00	+	1.30	6.15E-03	3.26E-02
sugar mediated signaling pathway (GO:0010182)	40	35	27.00	+	1.30	6.15E-03	3.26E-02
regulation of response to stimulus (GO:0048583)	939	821	633.87	+	1.30	1.70E-46	2.12E-44
phloem or xylem histogenesis (GO:0010087)	135	118	91.13	+	1.29	1.48E-07	2.21E-06
RNA metabolic process (GO:0016070)	1437	1256	970.05	+	1.29	2.03E-71	5.84E-69
regulation of response to biotic stimulus (GO:0002831)	246	215	166.06	+	1.29	7.06E-13	1.82E-11
regulation of response to external stimulus (GO:0032101)	246	215	166.06	+	1.29	7.06E-13	1.81E-11
negative regulation of gene expression (GO:0010629)	365	319	246.39	+	1.29	1.68E-18	6.21E-17
response to endoplasmic reticulum stress (GO:0034976)	111	97	74.93	+	1.29	2.01E-06	2.42E-05
chromosome organization (GO:0051276)	206	180	139.06	+	1.29	6.02E-11	1.32E-09
RNA splicing (GO:0008380)	293	256	197.79	+	1.29	3.91E-15	1.16E-13
nuclear-transcribed mRNA catabolic process (GO:0000956)	63	55	42.53	+	1.29	4.04E-04	3.14E-03
heat acclimation (GO:0010286)	63	55	42.53	+	1.29	4.04E-04	3.13E-03
cellular response to red or far red light (GO:0071489)	55	48	37.13	+	1.29	1.28E-03	8.60E-03
positive regulation of response to biotic stimulus (GO:0002833)	110	96	74.26	+	1.29	2.96E-06	3.48E-05
positive regulation of response to external stimulus (GO:0032103)	110	96	74.26	+	1.29	2.96E-06	3.48E-05
carboxylic acid metabolic process (GO:0019752)	847	739	571.77	+	1.29	3.26E-41	3.44E-39
organic acid biosynthetic process (GO:0016053)	470	410	317.27	+	1.29	3.32E-23	1.60E-21
mitotic nuclear division (GO:0140014)	47	41	31.73	+	1.29	2.77E-03	1.67E-02
carboxylic acid biosynthetic process (GO:0046394)	470	410	317.27	+	1.29	3.32E-23	1.58E-21
regulation of protein-containing complex assembly (GO:0043254)	39	34	26.33	+	1.29	9.20E-03	4.56E-02
oligosaccharide biosynthetic process (GO:0009312)	39	34	26.33	+	1.29	9.20E-03	4.56E-02
pteridine-containing compound metabolic process (GO:0042558)	39	34	26.33	+	1.29	9.20E-03	4.55E-02
multicellular organismal-level homeostasis (GO:0048871)	39	34	26.33	+	1.29	9.20E-03	4.55E-02
organic acid transmembrane transport (GO:1903825)	39	34	26.33	+	1.29	9.20E-03	4.54E-02
nucleoside phosphate metabolic process (GO:0006753)	381	332	257.19	+	1.29	7.63E-19	2.92E-17
regulation of response to stress (GO:0080134)	474	413	319.97	+	1.29	3.31E-23	1.60E-21
chromosome segregation (GO:0007059)	132	115	89.11	+	1.29	3.08E-07	4.35E-06
regulation of abscisic acid-activated signaling pathway (GO:0009787)	132	115	89.11	+	1.29	3.08E-07	4.33E-06
regulation of cellular response to alcohol (GO:1905957)	132	115	89.11	+	1.29	3.08E-07	4.32E-06
regulation of response to alcohol (GO:1901419)	132	115	89.11	+	1.29	3.08E-07	4.31E-06
mitotic cell cycle process (GO:1903047)	186	162	125.56	+	1.29	1.20E-09	2.33E-08
ribosomal small subunit biogenesis (GO:0042274)	93	81	62.78	+	1.29	1.90E-05	1.98E-04
stomatal movement (GO:0010118)	62	54	41.85	+	1.29	5.84E-04	4.30E-03
intracellular monoatomic ion homeostasis (GO:0006873)	178	155	120.16	+	1.29	2.43E-09	4.59E-08
glycoprotein metabolic process (GO:0009100)	170	148	114.76	+	1.29	5.10E-09	9.16E-08
lignin metabolic process (GO:0009808)	54	47	36.45	+	1.29	1.91E-03	1.22E-02
organophosphate catabolic process (GO:0046434)	100	87	67.51	+	1.29	1.34E-05	1.42E-04
xylan metabolic process (GO:0045491)	61	53	41.18	+	1.29	8.55E-04	5.96E-03
RNA biosynthetic process (GO:0032774)	1089	946	735.13	+	1.29	8.24E-51	1.33E-48
small molecule catabolic process (GO:0044282)	236	205	159.31	+	1.29	9.13E-12	2.20E-10
response to nutrient levels (GO:0031667)	274	238	184.96	+	1.29	1.55E-13	4.25E-12
glucan catabolic process (GO:0009251)	38	33	25.65	+	1.29	8.99E-03	4.50E-02
negative regulation of programmed cell death (GO:0043069)	38	33	25.65	+	1.29	8.99E-03	4.50E-02
siRNA processing (GO:0030422)	38	33	25.65	+	1.29	8.99E-03	4.50E-02
sterol metabolic process (GO:0016125)	38	33	25.65	+	1.29	8.99E-03	4.49E-02
nucleic acid biosynthetic process (GO:0141187)	1116	969	753.36	+	1.29	7.76E-52	1.33E-49
red or far-red light signaling pathway (GO:0010017)	53	46	35.78	+	1.29	1.85E-03	1.19E-02
tetrapyrrole biosynthetic process (GO:0033014)	53	46	35.78	+	1.29	1.85E-03	1.19E-02
positive regulation of abscisic acid-activated signaling pathway (GO:0009789)	53	46	35.78	+	1.29	1.85E-03	1.19E-02
nucleotide metabolic process (GO:0009117)	257	223	173.49	+	1.29	1.42E-12	3.54E-11
spindle organization (GO:0007051)	68	59	45.90	+	1.29	3.92E-04	3.05E-03
response to heat (GO:0009408)	294	255	198.46	+	1.28	3.44E-14	9.65E-13
endomembrane system organization (GO:0010256)	128	111	86.41	+	1.28	9.29E-07	1.19E-05
mRNA metabolic process (GO:0016071)	459	398	309.85	+	1.28	1.83E-21	8.03E-20
nucleobase-containing compound biosynthetic process (GO:0034654)	1329	1152	897.14	+	1.28	9.65E-61	2.30E-58
reciprocal homologous recombination (GO:0140527)	60	52	40.50	+	1.28	1.27E-03	8.57E-03
reciprocal meiotic recombination (GO:0007131)	60	52	40.50	+	1.28	1.27E-03	8.56E-03
negative regulation of abscisic acid-activated signaling pathway (GO:0009788)	60	52	40.50	+	1.28	1.27E-03	8.55E-03
negative regulation of cellular response to alcohol (GO:1905958)	60	52	40.50	+	1.28	1.27E-03	8.54E-03
negative regulation of response to alcohol (GO:1901420)	60	52	40.50	+	1.28	1.27E-03	8.53E-03
amide metabolic process (GO:0043603)	187	162	126.23	+	1.28	2.33E-09	4.41E-08
carbohydrate biosynthetic process (GO:0016051)	321	278	216.69	+	1.28	3.62E-15	1.08E-13
sulfur compound metabolic process (GO:0006790)	357	309	240.99	+	1.28	1.27E-16	4.04E-15
cellular homeostasis (GO:0019725)	290	251	195.76	+	1.28	1.02E-13	2.80E-12
response to starvation (GO:0042594)	223	193	150.54	+	1.28	8.13E-11	1.76E-09
calcium ion transmembrane transport (GO:0070588)	52	45	35.10	+	1.28	2.68E-03	1.64E-02
response to abiotic stimulus (GO:0009628)	2257	1953	1523.59	+	1.28	1.98E-103	9.86E-101
response to fungus (GO:0009620)	386	334	260.57	+	1.28	6.40E-18	2.25E-16
post-embryonic root development (GO:0048528)	141	122	95.18	+	1.28	2.93E-07	4.17E-06
xylem and phloem pattern formation (GO:0010051)	74	64	49.95	+	1.28	2.62E-04	2.09E-03
vegetative to reproductive phase transition of meristem (GO:0010228)	185	160	124.88	+	1.28	3.37E-09	6.26E-08
glycosylation (GO:0070085)	170	147	114.76	+	1.28	2.18E-08	3.62E-07
protein-containing complex organization (GO:0043933)	576	498	388.83	+	1.28	6.82E-26	4.11E-24
carbohydrate derivative biosynthetic process (GO:1901137)	405	350	273.40	+	1.28	2.04E-18	7.49E-17
regulation of photoperiodism, flowering (GO:2000028)	103	89	69.53	+	1.28	1.84E-05	1.93E-04
negative regulation of post-embryonic development (GO:0048581)	125	108	84.38	+	1.28	1.89E-06	2.30E-05
organic acid metabolic process (GO:0006082)	947	818	639.27	+	1.28	8.87E-42	9.71E-40
import into the mitochondrion (GO:0170036)	44	38	29.70	+	1.28	5.89E-03	3.16E-02
regulatory ncRNA-mediated gene silencing (GO:0031047)	132	114	89.11	+	1.28	8.88E-07	1.15E-05
regulation of reactive oxygen species metabolic process (GO:2000377)	66	57	44.55	+	1.28	8.39E-04	5.90E-03
oxoacid metabolic process (GO:0043436)	946	817	638.60	+	1.28	1.31E-41	1.40E-39
mRNA splicing, via spliceosome (GO:0000398)	212	183	143.11	+	1.28	3.50E-10	7.15E-09
purine-containing compound metabolic process (GO:0072521)	292	252	197.11	+	1.28	2.03E-13	5.54E-12
response to UV-B (GO:0010224)	73	63	49.28	+	1.28	3.79E-04	2.96E-03
response to metal ion (GO:0010038)	248	214	167.41	+	1.28	1.21E-11	2.88E-10
organic anion transport (GO:0015711)	124	107	83.71	+	1.28	2.76E-06	3.27E-05
response to bacterium (GO:0009617)	510	440	344.28	+	1.28	1.14E-22	5.16E-21
translation (GO:0006412)	539	465	363.85	+	1.28	8.17E-24	4.18E-22
organelle assembly (GO:0070925)	182	157	122.86	+	1.28	9.96E-09	1.72E-07
epigenetic regulation of gene expression (GO:0040029)	211	182	142.44	+	1.28	4.95E-10	1.00E-08
metal ion transport (GO:0030001)	225	194	151.89	+	1.28	1.62E-10	3.41E-09
regulation of carbohydrate biosynthetic process (GO:0043255)	58	50	39.15	+	1.28	1.77E-03	1.15E-02
root system development (GO:0022622)	601	518	405.71	+	1.28	2.77E-26	1.70E-24
nucleobase-containing small molecule metabolic process (GO:0055086)	427	368	288.25	+	1.28	6.00E-19	2.33E-17
lateral root development (GO:0048527)	130	112	87.76	+	1.28	1.86E-06	2.26E-05
root development (GO:0048364)	599	516	404.35	+	1.28	5.66E-26	3.45E-24
regulation of signal transduction (GO:0009966)	402	346	271.37	+	1.28	1.14E-17	3.93E-16
intracellular chemical homeostasis (GO:0055082)	244	210	164.71	+	1.27	3.48E-11	7.97E-10
nucleoside phosphate biosynthetic process (GO:1901293)	208	179	140.41	+	1.27	1.00E-09	1.99E-08
purine nucleotide metabolic process (GO:0006163)	208	179	140.41	+	1.27	1.00E-09	1.98E-08
positive regulation of response to stimulus (GO:0048584)	294	253	198.46	+	1.27	4.02E-13	1.05E-11
Golgi organization (GO:0007030)	43	37	29.03	+	1.27	8.49E-03	4.29E-02
response to temperature stimulus (GO:0009266)	702	604	473.89	+	1.27	5.86E-30	4.34E-28
response to radiation (GO:0009314)	802	690	541.39	+	1.27	4.22E-34	3.56E-32
nitrogen compound transport (GO:0071705)	716	616	483.34	+	1.27	1.90E-30	1.43E-28
cellular response to toxic substance (GO:0097237)	50	43	33.75	+	1.27	3.87E-03	2.23E-02
embryo development ending in seed dormancy (GO:0009793)	564	485	380.73	+	1.27	3.30E-24	1.77E-22
glycoprotein biosynthetic process (GO:0009101)	157	135	105.98	+	1.27	1.90E-07	2.77E-06
cellular response to starvation (GO:0009267)	171	147	115.43	+	1.27	4.14E-08	6.70E-07
meiotic cell cycle (GO:0051321)	171	147	115.43	+	1.27	4.14E-08	6.68E-07
protein glycosylation (GO:0006486)	156	134	105.31	+	1.27	1.84E-07	2.70E-06
macromolecule glycosylation (GO:0043413)	156	134	105.31	+	1.27	1.84E-07	2.69E-06
regulation of cellular response to stress (GO:0080135)	106	91	71.56	+	1.27	2.47E-05	2.49E-04
positive regulation of multicellular organismal process (GO:0051240)	113	97	76.28	+	1.27	1.15E-05	1.26E-04
polysaccharide biosynthetic process (GO:0000271)	233	200	157.29	+	1.27	2.13E-10	4.46E-09
macromolecule localization (GO:0033036)	940	806	634.55	+	1.27	1.31E-38	1.28E-36
porphyrin-containing compound biosynthetic process (GO:0006779)	49	42	33.08	+	1.27	5.53E-03	2.98E-02
vesicle organization (GO:0016050)	119	102	80.33	+	1.27	7.72E-06	8.54E-05
cellular detoxification (GO:1990748)	49	42	33.08	+	1.27	5.53E-03	2.98E-02
cellular response to nutrient levels (GO:0031669)	189	162	127.58	+	1.27	1.26E-08	2.16E-07
purine-containing compound catabolic process (GO:0072523)	77	66	51.98	+	1.27	3.58E-04	2.80E-03
vesicle budding from membrane (GO:0006900)	49	42	33.08	+	1.27	5.53E-03	2.97E-02
monocarboxylic acid metabolic process (GO:0032787)	441	378	297.70	+	1.27	1.45E-18	5.42E-17
biosynthetic process (GO:0009058)	3867	3314	2610.42	+	1.27	8.03E-169	8.80E-166
response to light stimulus (GO:0009416)	781	669	527.21	+	1.27	8.58E-32	6.81E-30
small molecule metabolic process (GO:0044281)	1478	1266	997.72	+	1.27	3.98E-60	9.07E-58
embryo development (GO:0009790)	591	506	398.95	+	1.27	3.46E-24	1.84E-22
nuclear division (GO:0000280)	146	125	98.56	+	1.27	7.77E-07	1.01E-05
protein-RNA complex organization (GO:0071826)	125	107	84.38	+	1.27	5.17E-06	5.86E-05
negative regulation of metabolic process (GO:0009892)	666	570	449.58	+	1.27	5.18E-27	3.30E-25
meiotic cell cycle process (GO:1903046)	152	130	102.61	+	1.27	5.21E-07	6.96E-06
protein-containing complex assembly (GO:0065003)	504	431	340.23	+	1.27	1.35E-20	5.73E-19
seedling development (GO:0090351)	131	112	88.43	+	1.27	3.46E-06	4.01E-05
cellular component biogenesis (GO:0044085)	1308	1118	882.97	+	1.27	5.31E-52	9.38E-50
lipid homeostasis (GO:0055088)	55	47	37.13	+	1.27	3.61E-03	2.11E-02
indole-containing compound biosynthetic process (GO:0042435)	55	47	37.13	+	1.27	3.61E-03	2.11E-02
meiotic nuclear division (GO:0140013)	103	88	69.53	+	1.27	4.94E-05	4.68E-04
positive regulation of post-embryonic development (GO:0048582)	96	82	64.80	+	1.27	1.07E-04	9.32E-04
cellular component organization (GO:0016043)	2551	2178	1722.05	+	1.26	5.13E-103	2.16E-100
protein-RNA complex assembly (GO:0022618)	123	105	83.03	+	1.26	1.06E-05	1.16E-04
cellular component organization or biogenesis (GO:0071840)	2957	2524	1996.12	+	1.26	2.44E-120	1.48E-117
peptidyl-amino acid modification (GO:0018193)	75	64	50.63	+	1.26	7.32E-04	5.22E-03
regulation of cell communication (GO:0010646)	408	348	275.42	+	1.26	2.11E-16	6.63E-15
trichome morphogenesis (GO:0010090)	68	58	45.90	+	1.26	1.10E-03	7.47E-03
phosphorus metabolic process (GO:0006793)	1160	989	783.06	+	1.26	5.47E-45	6.51E-43
regulation of signaling (GO:0023051)	407	347	274.75	+	1.26	3.03E-16	9.42E-15
nucleoside diphosphate catabolic process (GO:0009134)	61	52	41.18	+	1.26	2.36E-03	1.49E-02
starch metabolic process (GO:0005982)	61	52	41.18	+	1.26	2.36E-03	1.49E-02
negative regulation of gene expression, epigenetic (GO:0045814)	149	127	100.58	+	1.26	1.03E-06	1.32E-05
phosphate-containing compound metabolic process (GO:0006796)	1156	985	780.36	+	1.26	1.56E-44	1.82E-42
ADP catabolic process (GO:0046032)	54	46	36.45	+	1.26	5.18E-03	2.84E-02
ribonucleotide catabolic process (GO:0009261)	54	46	36.45	+	1.26	5.18E-03	2.84E-02
ribonucleoside diphosphate catabolic process (GO:0009191)	54	46	36.45	+	1.26	5.18E-03	2.84E-02
purine ribonucleoside diphosphate catabolic process (GO:0009181)	54	46	36.45	+	1.26	5.18E-03	2.83E-02
purine ribonucleotide catabolic process (GO:0009154)	54	46	36.45	+	1.26	5.18E-03	2.83E-02
purine nucleoside diphosphate catabolic process (GO:0009137)	54	46	36.45	+	1.26	5.18E-03	2.83E-02
glycolytic process (GO:0006096)	54	46	36.45	+	1.26	5.18E-03	2.82E-02
negative regulation of macromolecule metabolic process (GO:0010605)	614	523	414.48	+	1.26	6.80E-24	3.54E-22
cellular response to chemical stimulus (GO:0070887)	1133	965	764.83	+	1.26	2.29E-43	2.61E-41
alcohol metabolic process (GO:0006066)	128	109	86.41	+	1.26	6.87E-06	7.63E-05
nucleoside phosphate catabolic process (GO:1901292)	74	63	49.95	+	1.26	7.24E-04	5.17E-03
positive regulation of defense response (GO:0031349)	121	103	81.68	+	1.26	1.45E-05	1.54E-04
amino acid activation (GO:0043038)	60	51	40.50	+	1.26	3.38E-03	1.99E-02
plant-type cell wall biogenesis (GO:0009832)	173	147	116.78	+	1.26	2.06E-07	2.98E-06
post-transcriptional regulation of gene expression (GO:0010608)	186	158	125.56	+	1.26	9.46E-08	1.46E-06
meiosis I (GO:0007127)	73	62	49.28	+	1.26	1.02E-03	6.95E-03
translational initiation (GO:0006413)	73	62	49.28	+	1.26	1.02E-03	6.95E-03
vesicle fusion (GO:0006906)	53	45	35.78	+	1.26	5.17E-03	2.84E-02
macromolecule metabolic process (GO:0043170)	4742	4023	3201.09	+	1.26	3.60E-192	4.93E-189
response to cold (GO:0009409)	428	363	288.92	+	1.26	2.97E-16	9.29E-15
tetrapyrrole metabolic process (GO:0033013)	79	67	53.33	+	1.26	6.68E-04	4.84E-03
heterochromatin formation (GO:0031507)	105	89	70.88	+	1.26	9.17E-05	8.23E-04
tRNA aminoacylation (GO:0043039)	59	50	39.83	+	1.26	3.37E-03	1.99E-02
benzene-containing compound metabolic process (GO:0042537)	59	50	39.83	+	1.26	3.37E-03	1.99E-02
carbohydrate derivative metabolic process (GO:1901135)	673	570	454.31	+	1.25	1.53E-24	8.46E-23
regulation of biological quality (GO:0065008)	522	442	352.38	+	1.25	2.53E-19	1.01E-17
plant organ morphogenesis (GO:1905392)	476	403	321.32	+	1.25	1.17E-17	4.02E-16
response to acid chemical (GO:0001101)	469	397	316.60	+	1.25	2.46E-17	8.08E-16
glycosyl compound biosynthetic process (GO:1901659)	52	44	35.10	+	1.25	7.25E-03	3.77E-02
cell recognition (GO:0008037)	52	44	35.10	+	1.25	7.25E-03	3.77E-02
secondary metabolic process (GO:0019748)	201	170	135.69	+	1.25	5.39E-08	8.53E-07
amide biosynthetic process (GO:0043604)	84	71	56.70	+	1.25	6.20E-04	4.55E-03
response to stress (GO:0006950)	3489	2949	2355.25	+	1.25	2.03E-130	1.59E-127
regulation of cytoskeleton organization (GO:0051493)	71	60	47.93	+	1.25	2.06E-03	1.31E-02
plant epidermal cell differentiation (GO:0090627)	200	169	135.01	+	1.25	5.34E-08	8.49E-07
cell wall biogenesis (GO:0042546)	232	196	156.61	+	1.25	5.06E-09	9.12E-08
pyridine-containing compound catabolic process (GO:0072526)	58	49	39.15	+	1.25	4.71E-03	2.60E-02
nucleobase-containing compound catabolic process (GO:0034655)	199	168	134.33	+	1.25	7.38E-08	1.15E-06
monocarboxylic acid biosynthetic process (GO:0072330)	199	168	134.33	+	1.25	7.38E-08	1.15E-06
porphyrin-containing compound metabolic process (GO:0006778)	77	65	51.98	+	1.25	1.35E-03	8.99E-03
response to gravity (GO:0009629)	109	92	73.58	+	1.25	8.36E-05	7.59E-04
response to water deprivation (GO:0009414)	423	357	285.55	+	1.25	2.81E-15	8.40E-14
cellular component assembly (GO:0022607)	826	697	557.59	+	1.25	6.41E-29	4.50E-27
chlorophyll metabolic process (GO:0015994)	64	54	43.20	+	1.25	3.07E-03	1.82E-02
hemicellulose metabolic process (GO:0010410)	115	97	77.63	+	1.25	5.53E-05	5.17E-04
negative regulation of developmental process (GO:0051093)	178	150	120.16	+	1.25	4.79E-07	6.50E-06
tRNA aminoacylation for protein translation (GO:0006418)	57	48	38.48	+	1.25	6.63E-03	3.50E-02
organelle membrane fusion (GO:0090174)	57	48	38.48	+	1.25	6.63E-03	3.50E-02
fatty acid metabolic process (GO:0006631)	259	218	174.84	+	1.25	1.28E-09	2.48E-08
negative regulation of macromolecule biosynthetic process (GO:0010558)	562	473	379.38	+	1.25	1.72E-19	6.93E-18
cellular response to heat (GO:0034605)	82	69	55.35	+	1.25	8.59E-04	5.98E-03
nuclear chromosome segregation (GO:0098813)	82	69	55.35	+	1.25	8.59E-04	5.97E-03
ribose phosphate metabolic process (GO:0019693)	170	143	114.76	+	1.25	1.41E-06	1.76E-05
negative regulation of biosynthetic process (GO:0009890)	584	491	394.23	+	1.25	6.46E-20	2.68E-18
negative regulation of biological process (GO:0048519)	1168	982	788.46	+	1.25	3.56E-39	3.61E-37
negative regulation of signal transduction (GO:0009968)	119	100	80.33	+	1.24	7.19E-05	6.56E-04
meiosis I cell cycle process (GO:0061982)	75	63	50.63	+	1.24	1.83E-03	1.19E-02
post-embryonic plant organ morphogenesis (GO:0090697)	131	110	88.43	+	1.24	3.14E-05	3.10E-04
